Vin[V] Vout[V] Clip_b
0.008855 0.028761 63.0
1e+38 0.029008 61.0
0.008331 0.029056 59.0
1e+38 0.029136 57.0
1e+38 0.028866 55.0
0.008078 0.028826 53.0
0.008255 0.028835 51.0
1e+38 0.0289 49.0
1e+38 0.028816 47.0
1e+38 0.029148 45.0
1e+38 0.029262 43.0
1e+38 0.028566 41.0
0.008754 0.028826 39.0
0.009373 0.028499 37.0
1e+38 0.028724 35.0
1e+38 0.028049 33.0
1e+38 0.027336 31.0
1e+38 0.027003 29.0
1e+38 0.026982 27.0
1e+38 0.025943 25.0
0.008969 0.025171 23.0
0.008558 0.024056 21.0
1e+38 0.022541 19.0
1e+38 0.021473 17.0
1e+38 0.0201 15.0
1e+38 0.018311 13.0
1e+38 0.016913 11.0
1e+38 0.015119 9.0
0.00851 0.013242 7.0
1e+38 0.011584 5.0
1e+38 0.010268 3.0
1e+38 0.009249 1.0
0.00953 0.054823 63.0
0.00977 0.053729 61.0
0.00969 0.053294 59.0
0.00989 0.052662 57.0
0.01014 0.051698 55.0
0.00884 0.050675 53.0
0.00964 0.049838 51.0
1e+38 0.048483 49.0
0.01054 0.047772 47.0
0.00966 0.046615 45.0
0.0094 0.045232 43.0
0.00889 0.044364 41.0
0.00969 0.042916 39.0
0.01119 0.041868 37.0
0.01006 0.04032 35.0
0.00952 0.038759 33.0
0.0109 0.037566 31.0
0.009 0.036279 29.0
0.00927 0.034834 27.0
0.00975 0.033207 25.0
0.00965 0.031961 23.0
0.00946 0.030232 21.0
0.0089 0.028588 19.0
0.00961 0.027228 17.0
0.01003 0.025525 15.0
0.00908 0.024015 13.0
0.00995 0.022334 11.0
0.00921 0.019935 9.0
0.01028 0.018797 7.0
0.00965 0.016974 5.0
0.01101 0.015679 3.0
0.00882 0.014717 1.0
1e+38 0.06563 63.0
1e+38 0.06423 61.0
1e+38 0.06337 59.0
1e+38 0.06206 57.0
1e+38 0.06088 55.0
1e+38 0.05963 53.0
1e+38 0.05794 51.0
1e+38 0.05668 49.0
1e+38 0.05585 47.0
1e+38 0.05394 45.0
1e+38 0.05277 43.0
1e+38 0.05181 41.0
1e+38 0.04999 39.0
1e+38 0.04861 37.0
1e+38 0.04715 35.0
1e+38 0.04554 33.0
1e+38 0.04419 31.0
1e+38 0.04276 29.0
1e+38 0.0411 27.0
1e+38 0.03959 25.0
1e+38 0.03792 23.0
1e+38 0.03624 21.0
1e+38 0.03489 19.0
1e+38 0.03294 17.0
1e+38 0.03139 15.0
1e+38 0.02936 13.0
1e+38 0.02758 11.0
1e+38 0.02599 9.0
1e+38 0.02403 7.0
1e+38 0.02194 5.0
1e+38 0.02049 3.0
1e+38 0.02094 1.0
1e+38 0.06637 63.0
1e+38 0.06553 61.0
1e+38 0.06392 59.0
1e+38 0.06254 57.0
1e+38 0.06116 55.0
1e+38 0.06024 53.0
1e+38 0.05829 51.0
1e+38 0.05741 49.0
1e+38 0.05582 47.0
1e+38 0.05484 45.0
1e+38 0.05317 43.0
1e+38 0.05189 41.0
1e+38 0.0503 39.0
